train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
62,0.9059598973753067,0.32960067025860174,9.82583423368392,42.9196265183486,474.08370242329363,3408.2289484642315
97,0.8792913328054328,0.39501197718129244,13.462433082197132,41.1486217792158,578.3234143037013,3075.6857910944454
132,0.8628651681528039,0.3933924344961326,15.59037925821362,40.410619755534384,677.2005841933988,3083.9193498376567
167,0.8625384514493173,0.4127467259431965,15.706484703724968,40.220798730230946,687.6768044369992,2985.524477616734
202,0.87055683100973,0.4934039768682382,15.733140200482737,37.62774516204735,657.3681399737274,2575.4727885550656
238,0.8786525218380865,0.5864377366899061,15.801434686955282,33.88190745022389,630.5814423506126,2102.5004281396878
273,0.8775446568471389,0.5888588091463451,15.901666430745806,34.34470729796917,639.1227206788282,2090.1919891745883
308,0.8716321543697743,0.5935928144810914,16.001248189683086,34.58146556956427,655.5060967371862,2066.1248797544613
