step,loss,val_loss,mae,val_mae,mse,val_mse,train_mse,test_mse
24,1261.9091796875,2023.903564453125,27.29376792907715,32.26687240600586,1261.3807373046875,2023.3712158203125,1261.9091796875,2023.903564453125
25,1313.8621826171875,2022.9891357421875,27.658000946044922,32.40531921386719,1313.3250732421875,2022.44775390625,1313.8621826171875,2022.9891357421875
26,1260.236572265625,1983.5386962890625,26.95531463623047,32.448978424072266,1259.6915283203125,1982.990234375,1260.236572265625,1983.5386962890625
27,1240.4556884765625,1944.2958984375,26.865478515625,32.130645751953125,1239.9036865234375,1943.7403564453125,1240.4556884765625,1944.2958984375
28,1223.5533447265625,1872.78759765625,26.65036392211914,31.33856201171875,1222.994140625,1872.2242431640625,1223.5533447265625,1872.78759765625
29,1149.38525390625,1914.4908447265625,26.155303955078125,31.921743392944336,1148.818359375,1913.9205322265625,1149.38525390625,1914.4908447265625
30,1185.7056884765625,1900.5904541015625,26.217937469482422,31.694236755371094,1185.131591796875,1900.01171875,1185.7056884765625,1900.5904541015625
31,1142.3170166015625,1915.8038330078125,25.591167449951172,31.845378875732422,1141.7354736328125,1915.2186279296875,1142.3170166015625,1915.8038330078125
32,1172.2310791015625,1990.9189453125,26.052885055541992,32.280147552490234,1171.6427001953125,1990.326416015625,1172.2310791015625,1990.9189453125
33,1146.3359375,1850.67919921875,25.667959213256836,31.162614822387695,1145.740234375,1850.07958984375,1146.3359375,1850.67919921875
34,1139.361328125,1912.8465576171875,25.745389938354492,31.42902374267578,1138.7586669921875,1912.24072265625,1139.361328125,1912.8465576171875
35,1146.7294921875,1806.1859130859375,26.000385284423828,30.719186782836914,1146.1197509765625,1805.5723876953125,1146.7294921875,1806.1859130859375
36,1133.984619140625,1920.56005859375,25.839555740356445,31.846710205078125,1133.367431640625,1919.93896484375,1133.984619140625,1920.56005859375
37,1080.0152587890625,1922.1884765625,25.330059051513672,31.68964385986328,1079.390869140625,1921.56005859375,1080.0152587890625,1922.1884765625
38,1075.8017578125,1824.8585205078125,25.162044525146484,30.855712890625,1075.1695556640625,1824.2230224609375,1075.8017578125,1824.8585205078125
39,1084.452880859375,1867.8450927734375,25.220903396606445,30.77676773071289,1083.814697265625,1867.2030029296875,1084.452880859375,1867.8450927734375
40,1030.325927734375,1871.7578125,24.435483932495117,30.897592544555664,1029.6806640625,1871.109130859375,1030.325927734375,1871.7578125
41,1075.91015625,1926.497802734375,25.270421981811523,31.524599075317383,1075.2584228515625,1925.8419189453125,1075.91015625,1926.497802734375
42,1045.3203125,2055.008544921875,24.755107879638672,32.25947189331055,1044.6614990234375,2054.345947265625,1045.3203125,2055.008544921875
43,1045.9501953125,1915.122802734375,24.719284057617188,30.92353630065918,1045.2845458984375,1914.4539794921875,1045.9501953125,1915.122802734375
44,1045.0140380859375,1905.2640380859375,24.877614974975586,31.771398544311523,1044.341796875,1904.5887451171875,1045.0140380859375,1905.2640380859375
45,1008.0341796875,1759.5791015625,24.554502487182617,29.981338500976562,1007.355712890625,1758.8973388671875,1008.0341796875,1759.5791015625
46,1029.0618896484375,1933.390869140625,24.44446563720703,31.67129135131836,1028.376708984375,1932.7012939453125,1029.0618896484375,1933.390869140625
47,1040.9246826171875,1825.512939453125,24.637439727783203,30.794315338134766,1040.231689453125,1824.816162109375,1040.9246826171875,1825.512939453125
48,1025.626220703125,1963.2630615234375,24.64653968811035,31.55154037475586,1024.926513671875,1962.559814453125,1025.626220703125,1963.2630615234375
49,1001.5515747070312,1845.6197509765625,24.091007232666016,30.430252075195312,1000.8446044921875,1844.908935546875,1001.5515747070312,1845.6197509765625
50,998.6138916015625,1993.108642578125,24.363739013671875,31.99601173400879,997.9003295898438,1992.391357421875,998.6138916015625,1993.108642578125
51,1002.3944091796875,1927.975341796875,24.25259017944336,31.375686645507812,1001.6740112304688,1927.251220703125,1002.3944091796875,1927.975341796875
52,957.6547241210938,1863.846923828125,23.84259033203125,30.834064483642578,956.9273681640625,1863.11572265625,957.6547241210938,1863.846923828125
53,1008.594482421875,1823.68896484375,23.94548797607422,30.358558654785156,1007.8607177734375,1822.951904296875,1008.594482421875,1823.68896484375
54,1003.1226806640625,1921.45751953125,24.013431549072266,31.564592361450195,1002.382568359375,1920.7137451171875,1003.1226806640625,1921.45751953125
55,1014.5156860351562,1848.85107421875,24.163965225219727,30.778209686279297,1013.76806640625,1848.1002197265625,1014.5156860351562,1848.85107421875
