train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
112,0.9926974308885934,0.23847337430344595,4.299577551228659,43.89509467261178,30.60738868292401,3354.743817021466
176,0.9674155226253456,0.20837574308516404,8.966536972143432,43.65780874415806,139.22951840246333,3487.332539240033
240,0.9480946666478384,0.31699685947951173,11.135444371143977,41.440415255955294,223.10884115659348,3008.825279840402
304,0.9283896312431801,0.39171422422506075,13.318963343438348,39.27318473161969,307.8985211035281,2679.673797874822
368,0.907042955757198,0.40916793023268494,15.277185434614834,39.11349010903494,403.29635560682846,2602.785202863938
432,0.8912590402335868,0.45287979966269243,16.151148532575892,37.28161459541321,457.5438623524902,2410.2218455858697
496,0.8802290038882851,0.46350382149733815,17.55060699839746,37.07997233009338,515.0564386384023,2363.4199737155604
560,0.8586904454819093,0.45101071943933324,18.50361715891851,37.03226400675093,594.8324801076101,2418.455681555946
