train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
626,0.6269082040814951,0.3870129793001216,26.367802793414064,32.97365413623545,1225.1340015804412,2080.816492163461
757,0.6101752807815481,0.37805167376281235,27.769355509841777,33.371249314330115,1339.5911104903578,2111.2361123571463
889,0.6009895261955959,0.4103814947299408,28.10669234688827,32.95382372307351,1383.723545020852,2001.490844699954
1021,0.5868383960504877,0.4176897152740703,28.266335633088282,32.97440136409476,1416.92425555317,1976.682707948168
1152,0.5880142585820551,0.4259862059914633,28.333590511551336,32.50604158372221,1419.4255283514722,1948.5198364209343
1284,0.5735125500960692,0.4249666906992906,28.727850322626832,32.380960837508105,1449.3385700707302,1951.9806343861892
1416,0.5678253294586062,0.4316911834158511,28.871928545024435,32.2459138367548,1458.1109374532373,1929.1539922656493
1548,0.5672708764396529,0.437698248208774,29.052393947405406,32.03842189620523,1475.5606973228844,1908.7626967430508
1679,0.5598761842406286,0.4295025508232271,29.234319937009058,32.220656647133396,1506.4371375447781,1936.5834200352924
1811,0.5589398056206191,0.43633202852172304,29.29831441504333,31.963252125225406,1513.391230760608,1913.4004009043692
1943,0.5524058658882444,0.4562751127574246,29.370522798166654,31.836900897257774,1516.1588609856767,1845.7025587300393
2074,0.5514284064782721,0.4583150051953345,29.166324376520794,31.767233890560277,1503.1469398146578,1838.7780371925423
2206,0.5440917820895368,0.4574882760380937,29.283083735259144,31.706491254043705,1520.319653441927,1841.584412542831
2338,0.5415660980877627,0.4582724695452548,29.240519448641123,31.775222833662692,1513.3789601336487,1838.92242668074
2469,0.543871134120644,0.4545083089128775,29.026601475375344,31.838432743518855,1492.029052653994,1851.700066758764
2601,0.5354349489076906,0.4508795214130066,29.321586410800276,31.867638214323527,1527.3774969628105,1864.0181756604286
2733,0.5329514407344977,0.44751814860588424,29.347087230832418,31.754882816500064,1535.4807564827372,1875.4285314056187
2865,0.5315254866878669,0.44203639598131284,29.38550123919575,31.98651757688321,1539.86026110363,1894.0366273064833
2996,0.5312374794360286,0.44535257989605337,29.343318659714924,31.9141255277258,1536.627328927158,1882.7796676192115
3128,0.5282434145557615,0.4462483109440387,29.583352744243943,31.806397188996414,1548.7007988924083,1879.7390617429846
