step,train_mse,test_mse,train_mae,test_mae
1,17488.001953125,17682.142578125,121.74790954589844,122.22222900390625
2,3516.03271484375,3738.973388671875,48.03773880004883,48.937862396240234
3,1980.0054931640625,2328.0849609375,33.59014892578125,36.47693634033203
4,1744.8470458984375,2176.135009765625,31.869800567626953,35.88402557373047
5,1627.1929931640625,2030.4189453125,30.713851928710938,34.79743957519531
6,1578.2530517578125,2023.20556640625,30.561458587646484,34.795345306396484
7,1507.081787109375,1920.651123046875,28.99030303955078,33.50946807861328
8,1474.1429443359375,1898.036376953125,28.968582153320312,33.380043029785156
9,1429.7689208984375,1876.7813720703125,28.58064079284668,33.364017486572266
10,1410.26025390625,1868.0390625,28.509477615356445,33.46746826171875
11,1392.004638671875,1894.3480224609375,28.496728897094727,33.87953186035156
12,1361.125,1803.74609375,27.85096549987793,32.557682037353516
13,1346.9547119140625,1862.5111083984375,27.844406127929688,33.376617431640625
14,1326.5802001953125,1777.79248046875,27.42146873474121,32.37602615356445
15,1312.361328125,1843.0953369140625,27.045061111450195,32.946632385253906
16,1300.476318359375,1832.3125,26.95590591430664,32.83485412597656
17,1302.5880126953125,1819.056396484375,27.228588104248047,32.87146759033203
18,1260.2435302734375,1796.445068359375,26.26609992980957,32.34912872314453
19,1255.8992919921875,1770.795654296875,26.21474838256836,32.03974151611328
20,1261.0804443359375,1817.711181640625,26.7249755859375,32.84058380126953
21,1238.0953369140625,1824.9678955078125,25.87446403503418,32.32829666137695
22,1227.4678955078125,1797.3121337890625,25.526235580444336,32.01003646850586
23,1227.0980224609375,1808.46240234375,25.899446487426758,32.531192779541016
24,1222.4342041015625,1763.113525390625,26.036325454711914,32.182743072509766
25,1233.599853515625,1887.9652099609375,25.899662017822266,33.12596893310547
26,1200.3681640625,1761.0594482421875,25.423768997192383,31.931032180786133
27,1215.177001953125,1816.1759033203125,25.971540451049805,32.82556915283203
28,1211.6734619140625,1753.5367431640625,25.953397750854492,32.180789947509766
29,1194.40283203125,1793.375,25.33930206298828,32.285728454589844
30,1191.113525390625,1752.4808349609375,24.714101791381836,31.368852615356445
31,1181.04248046875,1746.7110595703125,25.04257583618164,31.617019653320312
32,1174.826904296875,1759.2734375,24.749752044677734,31.71487045288086
33,1171.556396484375,1754.42041015625,24.842153549194336,31.695152282714844
34,1164.03173828125,1754.3353271484375,24.727497100830078,31.779891967773438
35,1161.751708984375,1774.136474609375,24.849882125854492,31.906965255737305
36,1154.395263671875,1742.3438720703125,24.639989852905273,31.6425838470459
37,1145.541259765625,1758.3720703125,24.339157104492188,31.694557189941406
38,1152.2945556640625,1747.1666259765625,24.602630615234375,31.5859375
39,1150.019287109375,1756.53857421875,24.7460994720459,31.783662796020508
