train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
626,0.6340673801675103,0.3855674960668245,25.835926142134984,33.07201070717229,1201.6251757573327,2085.7232605768545
757,0.6231516625354339,0.3679331545525044,26.979915703580744,33.56862930097848,1294.9991572692143,2145.583954869443
889,0.6146675164551358,0.4022172591755643,27.53628398852354,33.2960152575305,1336.2898097851973,2029.2047691612868
1021,0.6014031849135877,0.4022729570108645,27.59603412517488,33.107294458260625,1366.9747868226273,2029.0156999471653
1152,0.5925681138429415,0.4057964413276288,28.113493294856614,33.07012319885556,1403.7360086426759,2017.0550482063968
1284,0.5852469740116464,0.41519781854894877,28.16332502244023,32.536189902200725,1409.4613047907378,1985.1415816719227
1416,0.5882018544101801,0.4353892349208346,28.122163201405506,32.094674918938175,1389.3627300167418,1916.6007630771194
1548,0.5749329760517059,0.42599309509394534,28.757047393728598,32.301665446435095,1449.4337453084297,1948.496451002358
1679,0.5667914982832533,0.4239273860580758,28.938146787805884,32.50117676847121,1482.7676938142204,1955.5086083314654
1811,0.5658609022754973,0.4364377173293347,28.99778042029439,32.04538868696794,1489.6431639021198,1913.0416347209282
1943,0.5648243854907121,0.4593031182403644,28.830546053347977,31.758714222273863,1474.09296444981,1835.4238357970994
2074,0.5603731940300338,0.46793755507963286,28.757439493138627,31.414718733806442,1473.1732851519457,1806.1137884894417
2206,0.5488667679383104,0.45547052784605957,29.03374861216178,31.89376600440201,1504.3964817472609,1848.4337642798776
2338,0.5515512135120788,0.46236219442504145,28.900208845693292,31.79251706329453,1480.4161632405016,1825.0396417425616
2469,0.5535032291376161,0.4543081146004109,28.671692769906933,31.859480907398723,1460.521803983073,1852.379636819713
2601,0.5480768111944043,0.45359830391198663,28.77133601330556,31.753592544419078,1485.8141121773447,1854.7891263144506
2733,0.5408628964820481,0.4472905607580975,29.064960330519273,31.90023782994741,1509.470852769015,1876.2010902544994
2865,0.5437446131722269,0.44924808078243694,28.85664453216872,31.837074509154807,1499.6963956979394,1869.5561861817587
2996,0.5471257103672613,0.44982222696963947,28.79860686324467,31.790440746926894,1484.5449017146223,1867.6072169297186
3128,0.540186578409942,0.46003807761144677,29.106053138446928,31.504592672735832,1509.4933178037134,1832.928977784164
