train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
62,0.9999998652114921,0.31110121687943326,0.01868447396063008,45.94145699042779,0.0006795083488994412,3502.277927543563
97,0.99999822184908,0.40216346685594695,0.06369659944907839,42.524985558646065,0.00851924170050801,3039.3284842588273
132,0.9994745731309725,0.3905781688701784,0.3895660456744102,41.945775931222094,2.594668166091754,3098.226735226518
167,0.9995546226829924,0.4375998745369363,0.5026277285635823,39.782291674923584,2.2280823499931217,2859.1740820542245
202,0.9995106176413442,0.5157130671291772,0.719199607289663,36.61709044320242,2.4852943060260926,2462.056077248741
238,0.9994524432034401,0.6606929042519261,0.9542747954560925,32.13151171548026,2.8453756087367887,1724.9961550438863
273,0.9991788182487474,0.6491390158670765,1.3608569690159387,32.114217475792024,4.285937236541559,1783.734723406953
308,0.9991007138243421,0.6731540729292764,1.4828645759279078,31.051812521203768,4.592174683318308,1661.645083624671
