train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
293,0.8971060336611087,0.24205121890474524,12.810168479685084,37.46214085208914,286.8069891574096,2318.387746175128
362,0.8626406439254065,0.2610297480132804,15.1837074446283,37.156918009565175,386.6530705080177,2260.3368719959053
431,0.841587635721984,0.2626199880235085,16.02711887465829,37.13562814660411,443.6354476393596,2255.472700372247
499,0.8151984934729893,0.3289655546019814,17.312503257705597,34.58846999221161,517.8681711726998,2052.5371559066807
568,0.783377362546454,0.3209127884515416,18.68531620512546,34.94475103310548,614.4023225211458,2077.168680927429
637,0.772798969570305,0.32090147892660803,19.400349037052138,34.95101702893367,674.0245141974927,2077.2032741145613
706,0.7624415130039257,0.33561270905581675,19.88600415777468,33.905774127301946,702.9379724305852,2032.2050677536572
775,0.7368135074244867,0.332224639760342,20.86029678700355,33.77788400332133,775.979359777416,2042.568377958432
844,0.7190951923507481,0.36869632506043826,21.811652411911723,33.614010213997844,833.6477874417727,1931.0100373540524
913,0.7059986270592455,0.39685052914877883,22.567338503882503,32.554007875254904,891.6518075663171,1844.89292312451
982,0.7024778304178894,0.39515261768688514,22.64934802635624,32.99913091534474,885.3639809413952,1850.0864364931263
1051,0.6842275488650955,0.4171395556032885,23.264830191684382,32.0984461734334,948.64170457594,1782.833544592378
1120,0.6887760423159255,0.43059493765728474,23.167074070313145,32.26647784978314,932.5799246299925,1741.6766832685664
1188,0.6602131192055867,0.43148665245138984,24.25562490808442,32.07142959652051,1016.1554496653803,1738.949136627817
1257,0.6499668163358756,0.4402287872800875,24.394921271598047,31.956754776649788,1039.900947651256,1712.2089943282595
1326,0.6411406527166374,0.43539134788975276,24.854524963229306,32.20850226600314,1056.7650253222391,1727.0055880891343
1395,0.6389775861821139,0.4479803485006988,24.86951479186123,31.513916152630998,1069.0338984390737,1688.4987846203912
1464,0.6316984510975087,0.45236435093308136,24.908777868047437,31.13902197374021,1085.614168650045,1675.0891482809138
