train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
50,0.9926531152446687,0.45154470313433304,2.144091867446899,42.08851265982975,33.962949065778055,2997.3343274173203
78,0.9916615548463497,0.5363575840845768,3.0019618244660204,38.40206504700676,39.42926799708006,2533.8278922855834
106,0.9741057463622821,0.5403158118074274,6.73880088590226,38.26643654051281,136.75465118356487,2512.195989198428
135,0.9636626939584008,0.6717521017917121,8.963653070803042,33.03985077994211,188.57250459464174,1793.890402417367
163,0.9599318194319664,0.665317895070927,9.326541367754613,33.932611132424974,208.62715277887665,1829.0536486912597
191,0.9520447970856968,0.647357072370143,9.971286480289479,32.69295168377104,229.3221976191567,1927.2104004582175
220,0.9366128197429999,0.6627911879244708,11.744897516597401,32.58996404201265,314.9590971041778,1842.8622236265087
248,0.9249503502302575,0.6988828170277084,12.454272914240436,31.627615601486635,370.2608562956006,1645.6197510644397
