train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
639,0.7433564373489685,0.45888725762496585,21.715830315155007,32.00488317629515,859.9501782797255,1781.8259360881498
774,0.731387146467263,0.4680762060204,22.33877366686867,31.80613002283125,908.686059059463,1751.567719464945
908,0.7295624002680414,0.47092321406305504,22.10158885644964,31.39957659549401,920.1899316191567,1742.1928288490105
1043,0.7297826017797995,0.5018296781986449,21.76702349479333,30.32392990850156,906.933420179014,1640.4211737446394
1177,0.7195013289696519,0.505976385326713,22.10436817451577,30.247570910826308,926.2538483916907,1626.7665141302252
1312,0.7112115678042761,0.5138611825290651,22.44994808107914,29.992738493332787,959.4833360327381,1600.802726816178
1446,0.7120064718744856,0.5185779298000874,22.578237752617994,29.815624195492592,948.0413698576061,1585.2709864535464
1581,0.7002368446004833,0.5270239809839209,22.831865584247314,29.574628016773413,967.925756343755,1557.459050273984
1715,0.7018515640474923,0.5241573024399956,22.827967976489685,29.647105278977374,966.5531592507102,1566.8987137303905
1850,0.6914027785321328,0.5256040522896139,22.930038757666903,29.70322055853708,985.3222996097687,1562.134722415444
1984,0.6899555756850699,0.5260631342321387,23.038079484714114,29.6830965171376,1002.3180241586334,1560.6230150614645
2119,0.6932158098854433,0.5349611448344491,22.995165557864297,29.31791699949949,1002.1922045744676,1531.322825231901
2253,0.6921861194226904,0.5357572574272685,23.151293396802913,29.15745929688116,1014.0296078196053,1528.7013122737958
2388,0.685415299972827,0.5341300207864332,23.440303099620674,29.1072723395272,1042.2361833329185,1534.0596271382124
2522,0.6807024492559429,0.5360658499413975,23.635878806433244,29.061336822722062,1053.0867379710087,1527.6851503868218
2657,0.6801017285576166,0.542160655501544,23.623254520375873,28.78404465207676,1062.687071201983,1507.61561261394
2791,0.6826824427065585,0.5408864256914768,23.550244202770067,28.693155802234298,1054.2750695480297,1511.8115140339453
2926,0.6775267131845264,0.5434819562185884,23.62767731602511,28.620446242331468,1070.2235661758568,1503.2647117708584
3060,0.670244462704098,0.5398307680890104,23.772322173157573,28.71441903290729,1091.2444194999757,1515.2876807334158
3195,0.6708501045798414,0.5431231193083821,23.80866836943128,28.59159444351348,1093.7344036020786,1504.4463230384572
