train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
62,0.9999988426914067,0.2752169580941697,0.055253454023791164,46.80548950789811,0.005834331603718592,3684.7091504883924
97,0.9999615334338282,0.37812619254459323,0.30389819705609206,43.23325947848233,0.18429592838715778,3161.5310738433564
132,0.9992891781341608,0.2771620008087784,0.8922391088081126,47.01276726413082,3.5101875746643905,3674.82078904196
167,0.9991556846305663,0.34977649212439155,1.23199711968085,43.58569292836375,4.223843695279894,3305.6575151536294
202,0.9986483858566422,0.5028577179034106,1.7115082313282652,39.05109060213163,6.864078516558303,2527.411114806395
238,0.9978041873113664,0.5960374610281719,2.354274361995088,35.10873391163814,11.410527464631944,2053.696592969424
273,0.9966902157528592,0.628652278063249,2.964619131594787,33.80267393372275,17.274528480573665,1887.8868156674496
308,0.996020243722764,0.6132320000241641,3.278350871522705,33.69574344684551,20.322491901679378,1966.2816404750001
