train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
62,0.999999313287718,0.2637410111357009,0.042590867934688074,47.04342502742619,0.0034619177570552055,3743.051474085256
97,0.9999851311121747,0.39961495740260433,0.18260410466144908,43.149445756689296,0.07123785038696465,3052.2847974724273
132,0.9993891303058519,0.30511625991140756,0.7080264712824963,45.57495167410219,3.0166027709436007,3532.704723467727
167,0.999302181211487,0.38507919709401817,1.0379912421803268,41.569089941544966,3.490967471414936,3126.1828413305125
202,0.9990066224158015,0.49577801311402936,1.4174703159898814,39.10314838359883,5.044799041231886,2563.403475984706
238,0.9985619438333294,0.6497237746701544,1.857823172937922,32.890840661061276,7.472850243747222,1780.7618805174939
273,0.9980872965914115,0.6387284179825964,2.220162356659606,32.81159204514092,9.982840886108162,1836.6609414185252
308,0.9977560036652201,0.6721653891264042,2.4205623432877776,31.508219164068045,11.458891993414692,1666.6714322624696
