train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
62,0.9999999998975325,0.27517417632741026,0.0005377437222381126,46.8080741386909,5.165683356950755e-07,3684.9266478059867
97,0.9999999672448329,0.3779758735627359,0.00887617396325193,43.22494008200509,0.00015693222821255823,3162.2952773303546
132,0.9994879474247849,0.2739506564293358,0.2469269751057478,47.07274119141813,2.528623095989301,3691.146874692621
167,0.9995975152048893,0.34916954137499023,0.2529219133447027,43.57987302557214,2.013504581131483,3308.743179208812
202,0.9996106187088328,0.500534599166472,0.31552209419484156,39.1731820193204,1.977445832884103,2539.221568932308
238,0.9996532667801784,0.5933507267029043,0.4185774685905759,35.11642936979022,1.8017970968810115,2067.3556246807793
273,0.9996492589838806,0.6247044835059374,0.5656317695156559,33.89896255901881,1.8305983773696395,1907.9569247739262
308,0.9996289733380969,0.6080390956389691,0.6723578363579589,33.84324282856731,1.894635200392532,1992.6817370548338
