step,train_mse,test_mse,train_mae,test_mae
1,20206.08984375,20398.755859375,131.5880126953125,131.99459838867188
2,19085.75,19322.48046875,127.67838287353516,128.21548461914062
3,16132.1083984375,16451.552734375,116.8707275390625,117.72993469238281
4,10776.44921875,11179.9931640625,93.90618896484375,95.7012710571289
5,4891.482421875,5262.38525390625,59.47418212890625,61.240234375
6,2449.456298828125,2653.390380859375,38.3299560546875,39.78159713745117
7,2026.0638427734375,2310.34912109375,33.86958312988281,36.1484260559082
8,1853.4234619140625,2214.4228515625,32.700775146484375,35.74974822998047
9,1767.098388671875,2167.63671875,32.314083099365234,35.58348846435547
10,1678.0009765625,2079.16455078125,31.30278778076172,34.648956298828125
11,1622.0509033203125,2035.93310546875,30.622982025146484,34.18128204345703
12,1590.89306640625,2027.480712890625,30.366594314575195,34.35175323486328
13,1564.0693359375,1990.346435546875,30.190244674682617,34.18439865112305
14,1531.908935546875,1964.190185546875,29.786561965942383,33.81355285644531
15,1498.5938720703125,1946.9273681640625,29.32525062561035,33.73371887207031
16,1486.5242919921875,1972.4190673828125,29.218669891357422,34.10032272338867
17,1452.0916748046875,1912.1947021484375,28.772302627563477,33.369300842285156
18,1449.654052734375,1925.5546875,29.052841186523438,33.6823616027832
19,1421.2308349609375,1883.701904296875,28.526906967163086,33.23535919189453
20,1394.3743896484375,1876.5235595703125,28.004968643188477,33.016746520996094
21,1386.79345703125,1878.1884765625,28.146516799926758,33.20227813720703
22,1377.5552978515625,1875.6041259765625,28.009424209594727,33.23689270019531
23,1358.667236328125,1844.8485107421875,27.632993698120117,32.892967224121094
24,1352.7513427734375,1872.5372314453125,27.62111473083496,33.200653076171875
25,1340.6728515625,1827.2423095703125,27.472402572631836,32.52814865112305
26,1329.9793701171875,1824.9788818359375,27.28773307800293,32.596126556396484
27,1330.3157958984375,1851.08642578125,27.503646850585938,33.07933807373047
28,1321.8297119140625,1819.384521484375,27.263870239257812,32.704471588134766
29,1306.09814453125,1839.90185546875,26.935060501098633,32.853092193603516
30,1299.0133056640625,1824.5242919921875,26.959945678710938,32.71626281738281
31,1286.2220458984375,1795.240478515625,26.766958236694336,32.29807662963867
32,1280.83447265625,1797.3421630859375,26.729001998901367,32.37030792236328
33,1274.721435546875,1802.49658203125,26.62061882019043,32.44126510620117
34,1275.2237548828125,1769.9029541015625,26.70988655090332,32.12993621826172
35,1260.872314453125,1795.2410888671875,26.13524627685547,32.04527282714844
36,1267.166015625,1799.6495361328125,26.65921974182129,32.41953659057617
37,1257.5086669921875,1779.940185546875,26.45355796813965,32.2036018371582
38,1248.605224609375,1757.9617919921875,26.086023330688477,31.683849334716797
39,1249.5775146484375,1772.68310546875,26.438648223876953,32.22353744506836
40,1243.6781005859375,1800.2100830078125,26.270366668701172,32.545448303222656
41,1235.1217041015625,1781.404052734375,25.908973693847656,32.042457580566406
42,1228.752685546875,1757.8287353515625,25.67925262451172,31.652185440063477
43,1241.216064453125,1771.5341796875,26.352252960205078,32.20527648925781
44,1223.7032470703125,1788.303955078125,25.725677490234375,32.18783950805664
45,1214.7449951171875,1763.0355224609375,25.572914123535156,31.725784301757812
46,1209.8681640625,1758.079345703125,25.43834114074707,31.66697120666504
47,1204.797607421875,1757.177734375,25.5522403717041,31.896739959716797
48,1210.392578125,1759.3519287109375,25.73680877685547,31.865564346313477
49,1196.296142578125,1739.3968505859375,25.238718032836914,31.536840438842773
50,1194.3958740234375,1745.240966796875,25.296520233154297,31.66200065612793
51,1197.2547607421875,1771.5076904296875,25.43900489807129,32.073577880859375
52,1195.6365966796875,1742.5126953125,25.359033584594727,31.64842414855957
53,1198.0068359375,1769.1212158203125,25.607280731201172,32.067413330078125
54,1184.470458984375,1749.748779296875,25.12269401550293,31.638690948486328
55,1192.5264892578125,1784.5380859375,25.39989471435547,32.1253547668457
56,1180.24560546875,1759.8831787109375,25.1208438873291,31.72418212890625
57,1175.7208251953125,1759.164306640625,25.04593276977539,31.79503631591797
58,1182.7431640625,1779.8128662109375,25.312515258789062,32.17593002319336
59,1167.90380859375,1732.7059326171875,24.83700942993164,31.251001358032227
60,1171.884521484375,1749.898681640625,25.09560203552246,31.54825782775879
61,1160.32568359375,1750.8804931640625,24.701358795166016,31.608675003051758
62,1157.625732421875,1748.2838134765625,24.626237869262695,31.523719787597656
63,1163.283203125,1755.8236083984375,25.01605796813965,31.88754653930664
64,1158.34765625,1736.063232421875,24.821619033813477,31.59235191345215
65,1150.751220703125,1724.49658203125,24.409494400024414,31.25299835205078
66,1151.4344482421875,1747.1612548828125,24.575950622558594,31.58067512512207
67,1149.072021484375,1743.9224853515625,24.523277282714844,31.640378952026367
68,1152.423828125,1780.0650634765625,24.626178741455078,31.914073944091797
69,1154.7052001953125,1738.107421875,24.463632583618164,31.186037063598633
70,1153.5660400390625,1753.923828125,24.801631927490234,31.58588409423828
71,1143.431640625,1772.1058349609375,24.474885940551758,31.737897872924805
72,1135.967041015625,1734.929443359375,24.248783111572266,31.424890518188477
73,1155.016845703125,1703.6639404296875,24.962749481201172,31.33774185180664
74,1139.8695068359375,1722.4183349609375,24.33390998840332,31.327133178710938
75,1141.0892333984375,1754.8975830078125,24.632282257080078,31.823476791381836
76,1133.1473388671875,1739.6531982421875,24.404142379760742,31.598424911499023
77,1141.1156005859375,1738.9169921875,24.611303329467773,31.495378494262695
78,1130.9427490234375,1741.1947021484375,24.35687828063965,31.601350784301758
79,1125.0445556640625,1765.71826171875,24.08688735961914,31.741640090942383
80,1135.1138916015625,1753.81982421875,24.339448928833008,31.529285430908203
81,1125.658447265625,1755.258544921875,24.059762954711914,31.52693748474121
82,1125.6265869140625,1746.554443359375,24.1186466217041,31.449167251586914
83,1132.835205078125,1723.3240966796875,24.26407241821289,31.37985610961914
84,1119.115966796875,1726.44775390625,23.75238037109375,31.190675735473633
85,1126.8499755859375,1700.0311279296875,24.27581787109375,31.281509399414062
86,1127.64306640625,1714.3927001953125,24.385080337524414,31.47600555419922
87,1123.3306884765625,1741.942138671875,24.138309478759766,31.569982528686523
88,1133.63037109375,1744.310791015625,24.299421310424805,31.51799201965332
89,1113.5660400390625,1717.8935546875,23.770971298217773,31.095617294311523
90,1116.6341552734375,1708.7615966796875,24.027236938476562,31.21338653564453
91,1110.7225341796875,1735.548095703125,23.803770065307617,31.441822052001953
92,1105.09814453125,1709.3109130859375,23.582176208496094,31.051298141479492
93,1123.661376953125,1747.799560546875,24.31334114074707,31.68850326538086
94,1102.794189453125,1728.0162353515625,23.62657928466797,31.326343536376953
95,1109.7314453125,1767.954345703125,23.80671501159668,31.798786163330078
96,1114.236328125,1731.8748779296875,24.02198028564453,31.462665557861328
97,1115.00927734375,1789.5478515625,24.097187042236328,32.1444206237793
98,1108.2158203125,1745.375,23.1281795501709,31.025907516479492
99,1118.089111328125,1768.543701171875,24.267597198486328,31.86430549621582
100,1099.4261474609375,1771.8861083984375,23.595531463623047,31.581697463989258
