step,loss,val_loss,mae,val_mae,mse,val_mse,train_mse,test_mse
1,20402.375,20507.90234375,132.5805206298828,132.95362854003906,20401.7734375,20507.322265625,20402.375,20507.90234375
2,20066.88671875,20071.52734375,131.59071350097656,131.56866455078125,20066.310546875,20070.953125,20066.88671875,20071.52734375
3,19733.78125,19558.173828125,130.5245819091797,129.85818481445312,19733.203125,19557.58984375,19733.78125,19558.173828125
4,19354.244140625,19185.40234375,129.27813720703125,128.54408264160156,19353.662109375,19184.8203125,19354.244140625,19185.40234375
5,18941.04296875,18726.865234375,127.91444396972656,126.9886474609375,18940.4609375,18726.275390625,18941.04296875,18726.865234375
6,18453.99609375,18194.908203125,126.28271484375,125.11604309082031,18453.40234375,18194.310546875,18453.99609375,18194.908203125
7,17937.65625,17624.818359375,124.4903335571289,123.08270263671875,17937.0546875,17624.2109375,17937.65625,17624.818359375
8,17370.98046875,17018.21875,122.5354232788086,121.00495147705078,17370.373046875,17017.607421875,17370.98046875,17018.21875
9,16764.521484375,16548.3359375,120.39457702636719,119.23728942871094,16763.91015625,16547.720703125,16764.521484375,16548.3359375
10,16125.7568359375,15980.49609375,118.05987548828125,116.99039459228516,16125.13671875,15979.8671875,16125.7568359375,15980.49609375
11,15502.9306640625,15342.1259765625,115.77397918701172,114.75437927246094,15502.3017578125,15341.4921875,15502.9306640625,15342.1259765625
12,14797.9423828125,14774.7392578125,112.97621154785156,112.3563003540039,14797.3046875,14774.0966796875,14797.9423828125,14774.7392578125
13,14070.9169921875,13888.494140625,110.10198211669922,108.91946411132812,14070.267578125,13887.8427734375,14070.9169921875,13888.494140625
14,13310.6416015625,13227.2744140625,107.02619171142578,106.19611358642578,13309.9833984375,13226.6123046875,13310.6416015625,13227.2744140625
15,12635.0537109375,12206.21875,103.93889617919922,100.9950942993164,12634.3876953125,12205.548828125,12635.0537109375,12206.21875
16,11815.1806640625,11751.7978515625,100.32775115966797,99.14161682128906,11814.5068359375,11751.1162109375,11815.1806640625,11751.7978515625
17,10989.33984375,11063.2880859375,96.5359115600586,95.69405364990234,10988.6533203125,11062.595703125,10989.33984375,11063.2880859375
18,10283.92578125,10249.001953125,93.14077758789062,91.9519271850586,10283.23046875,10248.298828125,10283.92578125,10249.001953125
19,9475.78515625,9507.3740234375,89.1176528930664,88.2220458984375,9475.076171875,9506.6611328125,9475.78515625,9507.3740234375
20,8809.8720703125,8873.712890625,85.55125427246094,84.4317855834961,8809.154296875,8872.990234375,8809.8720703125,8873.712890625
21,8076.8203125,8322.9970703125,81.3000259399414,81.57442474365234,8076.08935546875,8322.263671875,8076.8203125,8322.9970703125
22,7382.138671875,7294.07763671875,77.37859344482422,75.07479858398438,7381.3994140625,7293.33203125,7382.138671875,7294.07763671875
23,6645.3525390625,6990.267578125,72.97830963134766,73.21276092529297,6644.60107421875,6989.50732421875,6645.3525390625,6990.267578125
24,5970.59619140625,6208.615234375,68.44889831542969,68.72571563720703,5969.83056640625,6207.8447265625,5970.59619140625,6208.615234375
25,5352.24853515625,5853.12841796875,64.38700866699219,65.87747192382812,5351.4716796875,5852.34765625,5352.24853515625,5853.12841796875
26,4776.3828125,5292.28759765625,60.24522018432617,61.9976692199707,4775.595703125,5291.494140625,4776.3828125,5292.28759765625
27,4305.67236328125,4712.61083984375,56.66055679321289,57.917503356933594,4304.87353515625,4711.80615234375,4305.67236328125,4712.61083984375
28,3796.13623046875,4255.35498046875,52.771095275878906,54.69181823730469,3795.3251953125,4254.53857421875,3796.13623046875,4255.35498046875
29,3342.28076171875,3979.37939453125,49.13444900512695,52.53791427612305,3341.458984375,3978.55126953125,3342.28076171875,3979.37939453125
30,3045.607177734375,3636.90771484375,46.28510284423828,49.854000091552734,3044.775390625,3636.0693359375,3045.607177734375,3636.90771484375
31,2750.085205078125,3359.779052734375,43.523277282714844,47.534786224365234,2749.242919921875,3358.9306640625,2750.085205078125,3359.779052734375
32,2513.86376953125,3130.308349609375,41.25715255737305,45.253623962402344,2513.009521484375,3129.44873046875,2513.86376953125,3130.308349609375
33,2226.510009765625,2940.32861328125,38.383785247802734,43.5924072265625,2225.64453125,2939.45703125,2226.510009765625,2940.32861328125
34,1996.5919189453125,2664.142822265625,35.85185241699219,41.29013442993164,1995.71484375,2663.259033203125,1996.5919189453125,2664.142822265625
35,1801.254638671875,2516.923583984375,33.83121109008789,39.83218765258789,1800.366455078125,2516.030517578125,1801.254638671875,2516.923583984375
36,1748.2470703125,2598.24609375,33.28154373168945,40.00925827026367,1747.348388671875,2597.341064453125,1748.2470703125,2598.24609375
37,1676.494873046875,2619.5810546875,32.531402587890625,39.34661102294922,1675.5831298828125,2618.663818359375,1676.494873046875,2619.5810546875
38,1567.667724609375,2443.670654296875,30.7175350189209,37.651573181152344,1566.7440185546875,2442.74169921875,1567.667724609375,2443.670654296875
39,1555.0194091796875,2310.94970703125,30.60370445251465,37.766265869140625,1554.083984375,2310.008056640625,1555.0194091796875,2310.94970703125
40,1455.734130859375,2308.878662109375,29.653043746948242,37.30781173706055,1454.786376953125,2307.926025390625,1455.734130859375,2308.878662109375
41,1388.484375,2452.75537109375,28.177936553955078,37.691226959228516,1387.5260009765625,2451.792236328125,1388.484375,2452.75537109375
42,1408.1229248046875,2273.72412109375,28.6601505279541,35.93662643432617,1407.1531982421875,2272.7490234375,1408.1229248046875,2273.72412109375
43,1335.551513671875,2098.057373046875,28.05529022216797,34.74008560180664,1334.570556640625,2097.071533203125,1335.551513671875,2098.057373046875
44,1312.932861328125,2335.989501953125,27.589731216430664,36.12908935546875,1311.9417724609375,2334.992919921875,1312.932861328125,2335.989501953125
45,1280.219482421875,2164.872314453125,27.032438278198242,35.60324478149414,1279.2176513671875,2163.865234375,1280.219482421875,2164.872314453125
46,1308.1219482421875,1955.0135498046875,27.482872009277344,34.079105377197266,1307.1097412109375,1953.995849609375,1308.1219482421875,1955.0135498046875
47,1280.6041259765625,2000.7183837890625,27.15420913696289,34.56008529663086,1279.5804443359375,1999.688720703125,1280.6041259765625,2000.7183837890625
48,1282.0418701171875,1998.837890625,27.700664520263672,34.44823455810547,1281.00634765625,1997.7969970703125,1282.0418701171875,1998.837890625
49,1171.77587890625,2251.195068359375,25.98827362060547,35.56725311279297,1170.730224609375,2250.14404296875,1171.77587890625,2251.195068359375
50,1200.4591064453125,1969.2191162109375,26.308300018310547,34.22135543823242,1199.403564453125,1968.1583251953125,1200.4591064453125,1969.2191162109375
51,1225.514892578125,2161.062744140625,26.624128341674805,35.12934875488281,1224.448486328125,2159.990234375,1225.514892578125,2161.062744140625
52,1217.2149658203125,2177.74365234375,26.651655197143555,35.085723876953125,1216.1373291015625,2176.661376953125,1217.2149658203125,2177.74365234375
53,1207.7576904296875,2095.375244140625,26.706422805786133,35.23898696899414,1206.6697998046875,2094.281494140625,1207.7576904296875,2095.375244140625
54,1236.173828125,2034.6673583984375,26.763425827026367,34.17219161987305,1235.0743408203125,2033.56201171875,1236.173828125,2034.6673583984375
55,1168.230712890625,2053.778076171875,25.83108139038086,34.06535339355469,1167.1199951171875,2052.66259765625,1168.230712890625,2053.778076171875
56,1158.1591796875,2115.951171875,25.76323699951172,34.479801177978516,1157.0390625,2114.824951171875,1158.1591796875,2115.951171875
57,1187.4862060546875,2059.5400390625,26.201866149902344,34.88022232055664,1186.354248046875,2058.403076171875,1187.4862060546875,2059.5400390625
58,1167.930419921875,1970.014404296875,26.035049438476562,34.16893005371094,1166.789306640625,1968.869384765625,1167.930419921875,1970.014404296875
59,1161.08837890625,1928.3504638671875,25.806562423706055,34.007259368896484,1159.9385986328125,1927.196533203125,1161.08837890625,1928.3504638671875
60,1125.3914794921875,1990.116943359375,25.317596435546875,33.82015609741211,1124.2320556640625,1988.952880859375,1125.3914794921875,1990.116943359375
61,1141.444091796875,2006.45751953125,25.456571578979492,33.85752868652344,1140.2760009765625,2005.285400390625,1141.444091796875,2006.45751953125
62,1078.773681640625,1980.1053466796875,25.16351318359375,33.89250183105469,1077.5970458984375,1978.9241943359375,1078.773681640625,1980.1053466796875
