train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
34,0.9999992853264759,0.1611714896607348,0.04430794828078303,56.75097420271054,0.004460870418247733,5901.192506634214
53,0.9974514430959577,0.4047082055900082,1.624064395472688,41.040634612149965,18.16435462217199,4187.90185733228
73,0.9848849181195569,0.575910213873458,3.5609976859941868,31.239268566175948,103.04380382854808,2983.488802756433
92,0.9870765121466791,0.6082165956706791,3.488841301772905,31.169692394899766,87.2538145260641,2756.212099797065
112,0.987699658624546,0.630570799146835,4.115811559983663,30.36982234234033,80.35890897081228,2598.9493739606323
131,0.986230993351205,0.6967881875671629,4.476841918384756,25.98939317703247,85.60898812826382,2133.1073674736544
151,0.9854065386332375,0.7031322971267557,4.859681297611716,25.729158588231993,94.44833544967933,2088.47630005894
170,0.9822863886061312,0.7162814630590228,6.327917123514062,25.982554138982017,112.77591450003139,1995.9713857510076
