train_size,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
626,0.7224694314145572,0.3903396836889097,22.2521472473501,32.68042112464549,911.3364050659748,2069.5238201769657
757,0.7127667507287858,0.3786742208523114,23.30859731847532,33.03257552570742,987.0464554746658,2109.12284371159
889,0.7221844936821843,0.4198725493123707,23.04279313143117,32.416191455607,963.4329986342524,1969.2729636743572
1021,0.7079061210659434,0.4419404262316762,23.29157386085042,31.689229724409724,1001.7264382845482,1894.3624016394615
1152,0.7044262256800031,0.44312952546974604,23.64848777983356,31.289983889246997,1018.3482548134762,1890.325942103059
1284,0.6975543090815366,0.4512508715286222,23.810690090564215,31.04023194090177,1027.8056371847758,1862.7576082767055
1416,0.6970613104384983,0.4580691604323923,23.83417739912546,30.717985294542185,1022.0826132036551,1839.612570094492
1548,0.6990750648482151,0.4815927802387371,23.852598014089864,30.24702283718707,1026.1223083416708,1759.7604127151426
1679,0.6897517323588667,0.48775617270026006,24.127960078699854,30.09873939429585,1061.9046175157666,1738.838454747794
1811,0.6888354485698179,0.48545038753143954,24.161588926071826,30.101095727473318,1067.6857931390111,1746.66556306273
1943,0.6864383030072523,0.5097807136389101,24.13721771820378,29.755227650035895,1062.1438243481532,1664.0749989650815
2074,0.6814762191646777,0.509513705093003,24.031671831785268,29.749915529828286,1067.3614944313629,1664.9813734348668
2206,0.6740700092006606,0.509778590992138,24.299118430176218,29.74420387211456,1086.8805412840745,1664.082204400533
2338,0.6717890434784839,0.5172204483578356,24.251933642901946,29.52252672172167,1083.487835461375,1638.8204304706517
2469,0.6719537181383093,0.5158587787421129,24.077552846055443,29.42253351320621,1073.0620659342835,1643.4426891769433
2601,0.674588834581191,0.5233569481659195,23.99183376790583,29.203981635095438,1069.8731860102243,1617.989761021501
2733,0.6676785533024086,0.5256974309273121,24.165151543427374,29.06021778986565,1092.5484647102426,1610.0448699143947
2865,0.6657884200624296,0.5172064608250128,24.19774718151807,29.288954465419973,1098.5424310663243,1638.8679118821656
2996,0.6665509976686256,0.5227509416739413,24.13507383713941,29.153375699393493,1093.0627499174414,1620.0468817439378
3128,0.6677805370732002,0.5269743996515022,24.116464528322556,28.975926739368475,1090.622926138583,1605.7101328130482
